"","geneID","base.mean","log2fc","stnderr","wald.stat","pvalue","padj","diffexpressed","idlabel","logchange"
"1","ENSG00000198899.2",303.845699436854,-2.87411412899018,0.379857974811067,-7.56628613739043,3.84045621058048e-14,4.68535657690818e-10,"DOWN",17950,9.32925735173657
"2","ENSG00000011465.18",35.9325360833277,-3.21799551570018,0.464819130814622,-6.92311331949797,4.41824050893493e-12,2.69512671045031e-08,"DOWN",300,7.56942081179236
"3","ENSG00000237973.1",26.4679850618014,-2.97947943603214,0.446604632756497,-6.67140288635709,2.53369595039525e-11,1.03036968649407e-07,"DOWN",36193,6.98700692675252
"4","ENSG00000185818.8",51.672535320115,4.34839981284811,0.672661079869159,6.46447363015849,1.01652021073167e-10,3.10038664273159e-07,"UP",16089,6.50858414283215
"5","ENSG00000128016.7",46.7724851017829,-3.39893123641164,0.542378641714104,-6.26671291050445,3.6874908797758e-10,8.99747774665295e-07,"DOWN",5985,6.04587921880873
"6","ENSG00000226869.6",40.8603934737261,3.90879608014743,0.631745188829335,6.18729853311694,6.12039915138838e-10,1.2444811607823e-06,"UP",27560,5.90501167344689
"7","ENSG00000127184.13",17.2485621166524,-3.48836053483625,0.570755378337697,-6.11183121041445,9.84943291924964e-10,1.50695356429674e-06,"DOWN",5899,5.82190012995504
"8","ENSG00000136156.15",28.4692597686312,-3.79352445084476,0.620738348545712,-6.11130995810451,9.8816627166999e-10,1.50695356429674e-06,"DOWN",7234,5.82190012995504
"9","ENSG00000160678.12",40.2888729579007,3.83995037345222,0.638330427218657,6.01561543945776,1.79204540973291e-09,2.27505312205026e-06,"UP",10523,5.64300845819634
"10","ENSG00000198840.2",195.18777397262,-2.57185209298576,0.427988170593272,-6.00916630340668,1.8647976410248e-09,2.27505312205026e-06,"DOWN",17915,5.64300845819634
"11","ENSG00000203875.13",137.271964381308,-2.97167830456485,0.496252965688123,-5.98823283694478,2.12133236657757e-09,2.35275044293149e-06,"DOWN",19701,5.62842413614977
"12","ENSG00000133872.14",14.3805165934555,-4.35815326494604,0.734912297270524,-5.9301678324506,3.02625195897382e-09,3.07668949162338e-06,"DOWN",6807,5.51191633179257
"13","ENSG00000159713.11",85.8375087908592,-2.36186069835607,0.401933837113328,-5.87624250627629,4.19683388002924e-09,3.93856717971975e-06,"DOWN",10393,5.40466174241689
"14","ENSG00000270090.5",15.6689679380518,4.46703258636783,0.765797200519476,5.8331795720037,5.43809869924139e-09,4.7389145807675e-06,"UP",52536,5.32432111941532
"15","ENSG00000173546.7",66.5117043292165,3.484074592531,0.598925953414871,5.81720423479062,5.9840012111075e-09,4.86698765170077e-06,"UP",13551,5.31273975562726
"16","ENSG00000089041.17",49.6410785198499,2.43202170245424,0.451627017634169,5.38502261267338,7.24355412765031e-08,5.52321002233336e-05,"UP",1808,4.25780844223599
"17","ENSG00000130522.6",46.4603537610824,-3.03051503284242,0.565196597531042,-5.36187770075168,8.23612967469796e-08,5.91063423713619e-05,"DOWN",6286,4.22836591490391
"18","ENSG00000262223.8",42.4148641581301,3.02634660535969,0.566902885608135,5.33838631305118,9.37774797021431e-08,6.35602917981192e-05,"UP",48871,4.19681411766318
"19","ENSG00000261857.7",15.0132544619183,3.69310814269738,0.704745162624335,5.24034550154975,1.60276228374746e-07,0.000102914209798521,"UP",48734,3.9875246562286
"20","ENSG00000130208.9",85.3710129256028,2.58635320265456,0.49913793607197,5.18164021554482,2.19943156517479e-07,0.000125849361032633,"UP",6233,3.90014898512719
"21","ENSG00000130513.6",57.6544617541577,3.02151232662273,0.583454487603268,5.17865984549128,2.2348553740856e-07,0.000125849361032633,"UP",6282,3.90014898512719
"22","ENSG00000131981.16",23.8621427047142,-3.22622937528514,0.623330102798324,-5.17579587573516,2.26941470714585e-07,0.000125849361032633,"DOWN",6530,3.90014898512719
